1980-1981,yellow,McDonald’s Restrnt,335 8 Av,243-9594
1980-1981,yellow,McDonald’s Restrnt,336 E 23,674-9027
1980-1981,yellow,Mc Donald’s Restrnt,22 E 42,599-2127
1980-1981,yellow,Mc Donald’s Restrnts,729 2 Av,686-7124
1980-1981,yellow,Mc Donald’s Restrt,341 5 Av,686-5342
1980-1981,yellow,McDonalds 40 Street,556 7 Av,730-9237
1980,,Mc Donald Restrnt,2142 3 Av,831-3468
1980,,McDonald Restaurant,262 Canal,431-4165
1980,,McDonald’s,3549 Bway,283-9584
1980,,McDonald’s,4259 Bway,923-9506
1980,,McDonald’s,444 Lenox Av,281-2888
1980,,McDonald’s,39 Union Sq W,675-3780
1980,,Mc Donald’s ,102 1 Av,475-6424
1980,,McDonald’s,427 10 Av,244-8206
1980,,Mc Donald’s ,215 W 125,865-6323
1980,,Mc Donald’s Hamburgers,1327 2 Av,650-1401
1980,,Mcdonalds Hamburgers,1327 2 Av,861-8095
1980,,McDonald’s Of Greenwich Village,136 W 3,674-2566
1980,,McDonald’s Restrnt,427 10 Av,564-7115
1980,,McDonald’s Restrnt,317 Bway,349-7165
1980,,McDonald’s Restrnt,2049 Bway,595-8198
1980,,Mc Donalds Restrnt,2549 Bway,864-8138
1980,,Mc Donald’s Restrnt,2549 Bway,864-9314
1980,,Mc Donald’s Restrnt,4046 Bway,795-1791
1980,,Mc Donalds Restrnt,40 Fulton,349-1015
1980,,McDonalds Restrnt,444 Lenox Av,694-9843
1980,,Mc Donald’s Restrnt,113 Nassau,233-0440
1980,,McDonald’s Restrnt,102 1 Av,475-9538
1980,,McDonald’s Restrnt,480 3 Av,679-1160
1980,,Mc Donald’s Restrnt,1499 3 Av,628-8100
1980,,McDonald’s Restrnt,543 6 Av,924-8249
1980,,McDonald’s Restrnt,335 8 Av,243-9594
1980,,McDonald’s Restrnt,336 E 23,674-9027
1980,,Mc Donald’s Restrnt,22 E 42,599-2127
1980,,Mc Donald’s Restrnts,729 2 Av,686-7124
1980,,Mc Donald’s Restrt,341 5 Av,686-5342
1980,,McDonalds 40 Street,556 7 Av,730-9237
1985,yellow,McDonald Restaurant,262 Canal,431-4165
1985,yellow,McDonald's ,4036 Bdway,923-9582
1985,yellow,McDonald's ,3549 Bway,283-9584
1985,yellow,McDonald's ,4259 Bway,923-9506
1985,yellow,McDonalds,444 Lenox Av,862-8480
1985,yellow,McDonald’s,39 Union Sq W,675-3780
1985,yellow,Mc Donald’s,600 W 125,864-9522
1985,yellow,McDonald’s,427 10 Av,244-8206
1985,yellow,McDonald’s Of Greenwich Village,136 W 3,674-2566
1985,yellow,Mc Donald’s Restrnt,1560 Bway,921-9469
1985,yellow,McDonalds Restrnt,2049 Bway,724-0435
1985,yellow,McDonalds Restrnt,2549 Bway,864-8138
1985,yellow,McDonalds Restrnt,4046 Bway,795-1791
1985,yellow,McDonald’s Restrnt,336 E 23,674-9027
1985,yellow,McDonald’s Restrnt,22 E 42,599-2127
1985,yellow,McDonald’s Restrnt,40 Fulton,349-1015
1985,yellow,McDonalds Restrnt,444 Lenox Av,694-9843
1985,yellow,McDonalds Restrnt ,113 Nassau,233-0440
