year, phonebook, name, address, phone_number, lat, lon
1985,yellow,McDonalds Restrnt,444 Lenox Av,694-9843,40.81239,-73.94161
1985,yellow,McDonalds Restrnt ,113 Nassau,233-0440,40.71088,-74.00737
1985,yellow,Mc Donalds Restaurant,1327 2 Av,650-0049,40.76733,-73.95992
1985,yellow,McDonald’s Restrnt,102 1 Av,475-9538,40.72643,-73.98581
1985,yellow,McDonald’s Restrnt,427 10 Av,564-7115,40.75454,-74.0001
1985,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.77772,-73.95438
1985,yellow,Mc Donald’s Restrnt,2142 3 Av,831-3468,40.79866,-73.93991
1985,yellow,McDonald’s Restrnt,543 6 Av,924-8249,40.73791,-73.99685
1985,yellow,Mcdonald’s Restrnt,556 7 Av,869-1918,40.75473,-73.98832
1985,yellow,McDonald’s Restrnt,335 8 Av,243-9594,40.74771,-73.99742
1985,yellow,McDonald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1985,yellow,McDonald’s Restrnts,341 5 Av,686-5342,40.74796,-73.98452
1985,yellow,Mc Donald’s 21 St Century Training Center,336 E 23,475-5111,40.73696,-73.97945
1985,yellow,McDonalds 40 Street,556 7 Av,730-9237,40.75473,-73.98832
1990,white,Mcdonald Restrnt,543 6 Av,243-9298,40.73791,-73.99685
1990,white,MCDONALD RESTURANT,262 Canal,431-4165,40.71852,-74.00115
1990,white,Mc Donald’s,14 E 47,599-8818,40.75608,-73.97779
1990,white,Mcdonald’s,14 E 47,697-8148,40.75608,-73.97779
1990,white,Mc Donald’s,215 W 125,864-8614,40.80969,-73.94894
1990,white,Mc Donald’s,600 W 125,864-9522,40.81581,-73.95884
1990,white,Mc Donalds At Waverly Place,724 Bway,529-9660,40.7291,-73.99321
1990,white,Mcdonalds Family Restrnt,6 Water,509-0920,40.70297,-74.01223
1990,white,McDonalds 40 Street,556 7 Av,730-9237,40.75473,-73.98832
1990,white,McDonald’s Of Greenwich Village,136 W 3,674-2566,40.73076,-74.00111
1990,white,Mcdonald’s Restrnt,160 Bway,285-9026,40.7093,-74.00976
1990,white,MCDONALD’S RESTRNT,2049 Bway,724-0435,40.7778,-73.98279
1990,white,McDonalds Restrnt,2549 Bway,864-8138,40.79442,-73.97246
1990,white,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79442,-73.97246
1990,white,Mdonald’s Restaurant,638 Colmbs Av,721-7509,
1990,white,Mcdonald’s Restrnt,208 Dyckman,304-1610,40.86513,-73.9274
1990,white,McDonalds Restrnt,444 Lenox Av,694-9843,40.81239,-73.94161
1990,white,Mc Donalds Restrnt,113 Nassau,285-9192,40.71088,-74.00737
1990,white,Mcdonald’s Renstrnt,102 1 Av,475-9538,40.72643,-73.98581
1990,white,Mc Donalds Restaurant,1327 2 Av,650-0049,40.76733,-73.95992
1990,white,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.77772,-73.95438
1990,white,Mc Donald’s Restrnt,1499 3 Av,734-3158,40.77772,-73.95438
1990,white,Mc Donald’s Restrnt,2142 3 Av,831-3468,40.79866,-73.93991
1990,white,McDonald’s Restrnt,543 6 Av,989-4043,40.73791,-73.99685
1990,white,Mc Donalds Restaurant,809 6 Av,243-??65,40.74604,-73.99092
1990,white,McDonald’s Restrnt,556 7 Av,869-1918,40.75473,-73.98832
1990,white,Mcdonalds Restrnt,335 8 Av,243-9594,40.74771,-73.99742
