year, phonebook, name, address, phone_number, lat, lon
1982,yellow,McDonald’s,4036 Bdway,923-9582,
1982,yellow,McDonald’s,3549 Bway,283-9584,40.826848,-73.950671
1982,yellow,McDonald’s,4259 Bway,923-9506,40.850096,-73.93624
1982,yellow,Mcdonalds,444 Lenox Av,862-8480,40.812367,-73.941621
1982,yellow,McDonald’s,39 Union Sq W,675-3780,40.737061,-73.990742
1982,yellow,Mc Donald’s,102 1 Av,475-5424,40.726453,-73.985845
1982,yellow,McDonald’s,427 10 Av,244-8206,40.754529,-74.000106
1982,yellow,Mc Donalds,215 W 125,865-6323,40.809708,-73.948933
1982,yellow,Mcdonalds Hamburgers,1327 2 Av,861-8095,40.767359,-73.959756
1982,yellow,McDonald’s Of Greenwich Village,136 W 3,674-2566,40.730737,-74.001112
1982,yellow,McDonald’s Restrnt,427 10 Avenue,564-7115,40.754529,-74.000106
1982,yellow,McDonald’s Restrnt,317 Bway,349-7165,40.715828,-74.005338
1982,yellow,McDonald’s Restrnt,2049 Bway,595-8198,40.777772,-73.982732
1982,yellow,McDonalds Restrnt,2549 Bway,864-8138,40.79444,-73.97249
1982,yellow,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79444,-73.97249
1982,yellow,McDonalds Restrnt,4046 Bway,795-1791,40.842801,-73.938855
1982,yellow,McDonald’s Restrnt 40 Fulton,40 Fulton,349-1015,40.707884,-74.004738
1982,yellow,McDonalds Restrnt,444 Lenox Av,649-1015,40.812367,-73.941621
1982,yellow,McDonald’s Restrnt,113 Nassau,694-9843,40.710894,-74.007377
1982,yellow,Mcdonald’s Restrnt,102 1 Av,233-0440,40.726453,-73.985845
1982,yellow,McDonald’s Restrnt,480 3 Av,475-9538,40.744978,-73.979083
1982,yellow,Mc Donald’s Restrnt,1499 3 Av,679-1160,40.777727,-73.954377
1982,yellow,Mc Donald’s Restrnt,2142 3 Av,628-8100,40.798667,-73.939916
1982,yellow,McDonald’s Restrnt,543 6 Av,831-3468,40.737916,-73.996851
1982,yellow,McDonald’s Restrnt,335 8 Av,924-8249,40.74771,-73.99742
1982,yellow,McDonald’s Restrnt,336 E 23,243-9594,40.736964,-73.979443
1982,yellow,McDonald’s Restrnt,22 E 42,674-9027,40.752656,-73.980103
1982,yellow,McDonald’s Restrnts,729 2 Av,599-2127,40.74826,-73.97372
1982,yellow,McDonald’s Restrnts,341 5 Av,686-7124,40.747959,-73.984506
1982,yellow,Mc Donalds Restrnts,429 7 Av,695-1338,40.750487,-73.990586
1982,yellow,Mc Donald’s 21 St Century Training Center,336 E 23,475-5111,40.736964,-73.979443
1982,yellow,McDonalds ,40 Street 556 7 Av,730-9237,40.649726,-74.003204
1985,yellow,McDonald Restaurant,262 Canal,431-4165,40.718528,-74.001145
1985,yellow,McDonald's ,4036 Bdway,923-9582,
1985,yellow,McDonald's ,3549 Bway,283-9584,40.826848,-73.950671
1985,yellow,McDonald's ,4259 Bway,923-9506,40.850096,-73.93624
1985,yellow,McDonalds,444 Lenox Av,862-8480,40.812367,-73.941621
1985,yellow,McDonald’s,39 Union Sq W,675-3780,40.737061,-73.990742
1985,yellow,Mc Donald’s,600 W 125,864-9522,40.81581,-73.95884
1985,yellow,McDonald’s,427 10 Av,244-8206,40.754529,-74.000106
1985,yellow,McDonald’s Of Greenwich Village,136 W 3,674-2566,40.730737,-74.001112
1985,yellow,Mc Donald’s Restrnt,1560 Bway,921-9469,40.758607,-73.984365
1985,yellow,McDonalds Restrnt,2049 Bway,724-0435,40.777772,-73.982732
1985,yellow,McDonalds Restrnt,2549 Bway,864-8138,40.79444,-73.97249
1985,yellow,McDonalds Restrnt,4046 Bway,795-1791,40.842801,-73.938855
1985,yellow,McDonald’s Restrnt,336 E 23,674-9027,40.736964,-73.979443
1985,yellow,McDonald’s Restrnt,22 E 42,599-2127,40.752656,-73.980103
1985,yellow,McDonald’s Restrnt,40 Fulton,349-1015,40.707884,-74.004738
1985,yellow,McDonalds Restrnt,444 Lenox Av,694-9843,40.812367,-73.941621
1985,yellow,McDonalds Restrnt ,113 Nassau,233-0440,40.710894,-74.007377
1985,yellow,Mc Donalds Restaurant,1327 2 Av,650-0049,40.767359,-73.959756
1985,yellow,McDonald’s Restrnt,102 1 Av,475-9538,40.726453,-73.985845
1985,yellow,McDonald’s Restrnt,427 10 Av,564-7115,40.754529,-74.000106
1985,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.777727,-73.954377
1985,yellow,Mc Donald’s Restrnt,2142 3 Av,831-3468,40.798667,-73.939916
1985,yellow,McDonald’s Restrnt,543 6 Av,924-8249,40.737916,-73.996851
1985,yellow,Mcdonald’s Restrnt,556 7 Av,869-1918,40.75473,-73.988316
1985,yellow,McDonald’s Restrnt,335 8 Av,243-9594,40.74771,-73.99742
1985,yellow,McDonald’s Restrnts,729 2 Av,686-7124,40.74826,-73.97372
1985,yellow,McDonald’s Restrnts,341 5 Av,686-5342,40.747959,-73.984506
1985,yellow,Mc Donald’s 21 St Century Training Center,336 E 23,475-5111,40.736964,-73.979443
1985,yellow,McDonalds 40 Street,556 7 Av,730-9237,40.75473,-73.988316
1987,yellow,McDonald Restaurant,262 Canal,431-4165,40.718528,-74.001145
1987,yellow,McDonald’s,4036 Bdway,923-9582,
1987,yellow,McDonald’s,3549 Bway,283-9584,40.826848,-73.950671
1987,yellow,McDonald’s,4259 Bway,923-9506,40.850096,-73.93624
1987,yellow,Mc Donald’s,14 E 47,599-8818,40.756087,-73.977797
1987,yellow,McDonalds ,444 Lenox Av,862-8480,40.812367,-73.941621
1987,yellow,McDonald’s,39 Union Sq W,645-9079,40.737061,-73.990742
1987,yellow,Mc Donald’s,600 W 125,864-9522,40.81581,-73.95884
1987,yellow,Mc Donald’s,427 10 Av,502-5095,40.754529,-74.000106
1987,yellow,McDonalds ,972 6 Av,279-2022,40.750789,-73.986731
1987,yellow,McDonald’s Of Greenwich Village,136 W 3,674-2566,40.730737,-74.001112
1987,yellow,Mc Donald’s Restrnt,1560 Bway,921-9469,40.758607,-73.984365
1987,yellow,McDonald’s Restrnt,2049 Bway,724-0435,40.777772,-73.982732
1987,yellow,McDonalds Restrnt,2549 Bway,864-8138,40.79444,-73.97249
1987,yellow,Mc Donald’s Restrnt,2549 Bway,864-9314,40.79444,-73.97249
1987,yellow,McDonalds Restrnt,4046 Bway,795-1791,40.842801,-73.938855
1987,yellow,Mcdonald’s Restrnt,208 Dyckman,304-1610,40.865133,-73.927407
1987,yellow,McDonald’s Restrnt,336 E 23,674-9027,40.736964,-73.979443
1987,yellow,McDonald’s Restrnt,22 E 42,599-2127,40.752656,-73.980103
1987,yellow,McDonald’s Restrnt,40 Fulton,349-1015,40.707884,-74.004738
1987,yellow,McDonalds Restrnt,444 Lenox Av,694-9843,40.812367,-73.941621
1987,yellow,Mc Donalds Restaurant,1327 Second Av,650-0049,40.767359,-73.959756
1987,yellow,Mcdonald’s Restrnt ,102 1 Av,475-9538,40.726453,-73.985845
1987,yellow,McDonald’s Restrnt,427 10 Avenue,564-7115,40.754529,-74.000106
1987,yellow,Mc Donald’s Restrnt,1499 3 Av,628-8100,40.777727,-73.954377
1987,yellow,Mc Donald’s Restrnt,2142 3 Av,831-3468,40.798667,-73.939916
1987,yellow,McDonald’s Restrnt,543 6 Av,989-4043,40.737916,-73.996851
